10 24
22 24
10 22
24 26
10 26
24 25
22 25
18 22
18 25
11 22
11 18
8 10
8 11
9 26
8 9
3 8
3 9
25 27
27 28
25 28
18 28
7 18
7 8
18 21
21 28
7 21
5 8
3 5
5 7
1 3
1 2
2 5
4 7
4 5
2 6
4 6
2 4
28 29
21 29
28 31
21 31
29 31
7 20
20 21
7 19
19 29
19 20
7 12
4 12
12 19
21 30
29 30
23 29
20 23
23 30
4 13
12 13
29 32
19 32
4 14
13 16
14 16
13 14
29 33
32 33
29 34
33 34
32 37
33 37
34 37
28 35
34 35
34 36
36 37
35 36
35 39
39 40
35 40
36 40
19 38
12 38
32 38
12 17
15 17
13 15
13 17
17 38
32 57
38 57
32 56
56 64
62 64
56 62
56 63
57 63
56 57
38 49
42 49
38 42
17 42
17 41
17 43
17 44
43 44
41 45
45 46
41 46
43 46
41 47
43 47
46 47
42 51
44 51
42 48
48 51
42 50
48 50
51 54
48 54
51 67
54 67
48 55
50 55
48 52
52 54
48 53
53 61
55 61
53 55
54 68
67 68
54 70
68 70
54 69
52 69
69 70
52 60
53 60
53 58
58 59
53 59
59 60
60 66
59 66
65 69
60 65
65 66
