1 2
1 3
2 4
2 5
2 6
3 5
3 8
3 9
4 5
4 6
4 7
4 12
4 13
4 14
5 7
5 8
7 8
7 12
7 18
7 19
7 20
7 21
8 9
8 10
8 11
9 26
10 22
10 24
10 26
11 18
11 22
12 13
12 17
12 19
12 38
13 14
13 15
13 16
13 17
14 16
15 17
17 38
17 41
17 42
17 43
17 44
18 21
18 22
18 25
18 28
19 20
19 29
19 32
19 38
20 21
20 23
21 28
21 29
21 30
21 31
22 24
22 25
23 29
23 30
24 25
24 26
25 27
25 28
27 28
28 29
28 31
28 35
29 30
29 31
29 32
29 33
29 34
32 33
32 37
32 38
32 56
32 57
33 34
33 37
34 35
34 36
34 37
35 36
35 39
35 40
36 37
36 40
38 42
38 49
38 57
39 40
41 45
41 46
41 47
42 48
42 49
42 50
42 51
43 44
43 46
43 47
44 51
45 46
46 47
48 50
48 51
48 52
48 53
48 54
48 55
50 55
51 54
51 67
52 54
52 60
52 69
53 55
53 58
53 59
53 60
53 61
54 67
54 68
54 69
54 70
55 61
56 57
56 62
56 63
56 64
57 63
58 59
59 60
59 66
60 65
60 66
62 64
65 66
65 69
67 68
68 70
69 70
